Alarm timestamp,Alarm type,Alarm Point number,Alarm name,Monitor number,Alarm direction,Mode,Acknowledge by,Tag,Full comment,Assessment timestamp
12/05/2025 10:03:17.371 AM,Intrusion,100: FDB 5 - IPD 144,Sensor V  Alarm  Sector 18,14,1,Armed,Operator Station 3,Valid,Possible breach  //Mark Clay//,12/05/2025 10:03:24.457 AM
12/05/2025 10:03:22.713 AM,Intrusion,101: FDB 2 - IPD 358,Sensor G  Alarm  Sector 17,1,3,Armed,Operator Station 3,Valid,Camera confirmed  //Mark Clay//,12/05/2025 10:03:38.045 AM
12/05/2025 10:03:34.244 AM,Sensor_Fault,102: FDB 2 - IPD 272,Sensor E  Fault  Sector 37,4,1,Secured,Operator Station 6,Valid,Work order  //Susan Stevenson//,12/05/2025 10:03:44.538 AM
12/05/2025 10:03:39.316 AM,Sensor_Fault,103: FDB 3 - IPD 122,Sensor T  Fault  Sector 37,15,1,Secured,Operator Station 6,Valid,Maintenance  //Susan Stevenson//,12/05/2025 10:03:49.933 AM
12/05/2025 10:06:33.520 AM,Intrusion,104: FDB 4 - IPD 242,Sensor D  Alarm  Sector 36,15,1,Armed,Operator Station 1,Nuisance,Wildlife  //Mark Clay//,12/05/2025 10:06:37.140 AM
12/05/2025 10:06:37.886 AM,Intrusion,105: FDB 2 - IPD 236,Sensor L  Alarm  Sector 35,3,3,Armed,Operator Station 1,Nuisance,Wildlife  //Mark Clay//,12/05/2025 10:06:44.015 AM
12/05/2025 10:07:50.153 AM,Tamper,106: FDB 3 - IPD 305,Sensor Z  Tamper  Sector 29,9,1,Armed,Operator Station 7,Valid,Verified  //Tyler Douglas//,12/05/2025 10:07:56.107 AM
12/05/2025 10:07:55.422 AM,Intrusion,107: FDB 3 - IPD 208,Sensor S  Alarm  Sector 28,16,3,Armed,Operator Station 7,Valid,Unauthorized access  //Tyler Douglas//,12/05/2025 10:08:06.968 AM
12/05/2025 10:11:39.664 AM,Intrusion,108: FDB 4 - IPD 146,Sensor Q  Alarm  Sector 38,2,1,Armed,Operator Station 5,Valid,Verified  //Susan Stevenson//,12/05/2025 10:11:45.267 AM
12/05/2025 10:11:50.111 AM,Intrusion,109: FDB 4 - IPD 132,Sensor F  Alarm  Sector 37,13,3,Armed,Operator Station 5,Valid,Dispatch  //Susan Stevenson//,12/05/2025 10:12:04.624 AM
12/05/2025 10:15:32.009 AM,Tamper,110: FDB 3 - IPD 356,Sensor A  Tamper  Sector 29,6,1,Armed,Operator Station 3,Valid,Verified  //Susan Stevenson//,12/05/2025 10:15:41.091 AM
12/05/2025 10:15:41.183 AM,Intrusion,111: FDB 3 - IPD 359,Sensor D  Alarm  Sector 30,7,1,Armed,Operator Station 3,Valid,Unauthorized access  //Susan Stevenson//,12/05/2025 10:15:56.478 AM
12/05/2025 10:15:46.182 AM,Intrusion,112: FDB 5 - IPD 100,Sensor Y  Alarm  Sector 29,11,3,Armed,Operator Station 3,Valid,Dispatch  //Susan Stevenson//,12/05/2025 10:15:53.554 AM
12/05/2025 10:18:29.491 AM,Intrusion,113: FDB 4 - IPD 381,Sensor V  Alarm  Sector 30,6,1,Armed,Operator Station 6,Valid,Possible breach  //Jeffrey Prince//,12/05/2025 10:18:46.085 AM
12/05/2025 10:18:38.418 AM,Intrusion,114: FDB 4 - IPD 208,Sensor T  Alarm  Sector 29,7,1,Armed,Operator Station 6,Valid,Camera confirmed  //Jeffrey Prince//,12/05/2025 10:18:45.889 AM
12/05/2025 10:19:04.424 AM,Intrusion,115: FDB 1 - IPD 217,Sensor W  Alarm  Sector 18,3,1,Armed,Operator Station 5,Valid,Possible breach  //Mark Clay//,12/05/2025 10:19:16.419 AM
12/05/2025 10:19:14.053 AM,Intrusion,116: FDB 5 - IPD 221,Sensor C  Alarm  Sector 17,9,3,Armed,Operator Station 5,Valid,Camera confirmed  //Mark Clay//,12/05/2025 10:19:29.038 AM
12/05/2025 10:23:07.305 AM,Intrusion,117: FDB 1 - IPD 150,Sensor O  Alarm  Sector 50,2,3,Armed,Operator Station 1,Valid,Possible breach  //Susan Stevenson//,12/05/2025 10:23:17.782 AM
12/05/2025 10:23:21.388 AM,Intrusion,118: FDB 1 - IPD 227,Sensor Z  Alarm  Sector 51,7,1,Armed,Operator Station 1,Valid,Verified  //Susan Stevenson//,12/05/2025 10:23:26.443 AM
12/05/2025 10:27:13.310 AM,Tamper,119: FDB 2 - IPD 185,Sensor C  Tamper  Sector 58,14,1,Armed,Operator Station 1,Valid,Work order  //Tyler Douglas//,12/05/2025 10:27:24.883 AM
12/05/2025 10:27:23.944 AM,Tamper,120: FDB 4 - IPD 101,Sensor F  Tamper  Sector 58,13,1,Armed,Operator Station 1,Valid,Service activity  //Tyler Douglas//,12/05/2025 10:27:31.502 AM
12/05/2025 10:30:51.991 AM,Intrusion,121: FDB 3 - IPD 129,Sensor X  Alarm  Sector 4,2,3,Armed,Operator Station 3,Valid,Possible breach  //Mark Clay//,12/05/2025 10:31:08.056 AM
12/05/2025 10:31:02.243 AM,Intrusion,122: FDB 2 - IPD 129,Sensor Q  Alarm  Sector 3,17,1,Armed,Operator Station 3,Valid,Verified  //Mark Clay//,12/05/2025 10:31:19.425 AM
12/05/2025 10:33:50.757 AM,Intrusion,123: FDB 2 - IPD 260,Sensor I  Alarm  Sector 6,8,1,Armed,Operator Station 1,Nuisance,Heavy wind  //Amanda Brooks//,12/05/2025 10:33:55.793 AM
12/05/2025 10:33:52.521 AM,Intrusion,124: FDB 3 - IPD 334,Sensor V  Alarm  Sector 7,11,1,Armed,Operator Station 1,Nuisance,Storm  //Amanda Brooks//,12/05/2025 10:33:56.615 AM
12/05/2025 10:34:24.086 AM,Intrusion,125: FDB 3 - IPD 159,Sensor E  Alarm  Sector 57,4,3,Armed,Operator Station 3,Valid,Possible breach  //Shawn Schmidt//,12/05/2025 10:34:41.316 AM
12/05/2025 10:34:31.533 AM,Intrusion,126: FDB 5 - IPD 207,Sensor J  Alarm  Sector 58,11,1,Armed,Operator Station 3,Valid,Verified  //Shawn Schmidt//,12/05/2025 10:34:37.620 AM
12/05/2025 10:34:41.130 AM,Intrusion,127: FDB 5 - IPD 350,Sensor I  Alarm  Sector 57,9,1,Armed,Operator Station 3,Valid,Camera confirmed  //Shawn Schmidt//,12/05/2025 10:34:50.300 AM
12/05/2025 10:34:47.695 AM,Intrusion,128: FDB 3 - IPD 122,Sensor N  Alarm  Sector 58,1,1,Armed,Operator Station 3,Valid,Dispatch  //Shawn Schmidt//,12/05/2025 10:34:57.712 AM
12/05/2025 10:34:58.645 AM,Intrusion,129: FDB 3 - IPD 182,Sensor U  Alarm  Sector 57,15,3,Armed,Operator Station 3,Valid,Police notified  //Shawn Schmidt//,12/05/2025 10:35:07.751 AM
12/05/2025 10:39:05.828 AM,Sensor_Fault,130: FDB 2 - IPD 152,Sensor V  Fault  Sector 29,12,3,Secured,Operator Station 1,Valid,Device trouble  //Ashley Patel//,12/05/2025 10:39:08.215 AM
12/05/2025 10:40:02.380 AM,Sensor_Fault,131: FDB 2 - IPD 152,Sensor V  Fault  Sector 29,12,1,Secured,Operator Station 1,Valid,Service required  //Ashley Patel//,12/05/2025 10:40:06.376 AM
12/05/2025 10:41:02.534 AM,Sensor_Fault,132: FDB 2 - IPD 152,Sensor V  Fault  Sector 29,12,1,Armed,Operator Station 1,Valid,Device trouble  //Ashley Patel//,12/05/2025 10:41:08.031 AM
12/05/2025 10:41:13.480 AM,Sensor_Fault,133: FDB 2 - IPD 152,Sensor V  Fault  Sector 29,12,3,Armed,Operator Station 1,Valid,Sensor fault  //Ashley Patel//,12/05/2025 10:41:24.193 AM
12/05/2025 10:40:25.032 AM,Intrusion,134: FDB 5 - IPD 304,Sensor L  Alarm  Sector 31,11,1,Armed,Operator Station 4,Nuisance,Possible animal  //Ashley Patel//,12/05/2025 10:40:30.100 AM
12/05/2025 10:40:27.061 AM,Intrusion,135: FDB 2 - IPD 397,Sensor I  Alarm  Sector 32,9,1,Armed,Operator Station 4,Nuisance,Deer near fence  //Ashley Patel//,12/05/2025 10:40:32.520 AM
12/05/2025 10:41:52.071 AM,Intrusion,136: FDB 1 - IPD 269,Sensor N  Alarm  Sector 50,11,1,Armed,Operator Station 1,Nuisance,Wildlife  //Brandon Cole//,12/05/2025 10:41:59.713 AM
12/05/2025 10:41:59.160 AM,Intrusion,137: FDB 5 - IPD 258,Sensor J  Alarm  Sector 51,14,1,Armed,Operator Station 1,Nuisance,Wildlife  //Brandon Cole//,12/05/2025 10:42:06.577 AM
12/05/2025 10:45:03.484 AM,Tamper,138: FDB 4 - IPD 396,Sensor G  Tamper  Sector 40,11,1,Armed,Operator Station 5,Valid,Verified  //Tyler Douglas//,12/05/2025 10:45:16.904 AM
12/05/2025 10:45:08.160 AM,Intrusion,139: FDB 2 - IPD 361,Sensor O  Alarm  Sector 41,16,1,Armed,Operator Station 5,Valid,Unauthorized access  //Tyler Douglas//,12/05/2025 10:45:14.948 AM
12/05/2025 10:45:14.652 AM,Intrusion,140: FDB 5 - IPD 271,Sensor U  Alarm  Sector 42,3,3,Armed,Operator Station 5,Valid,Dispatch  //Tyler Douglas//,12/05/2025 10:45:22.080 AM
12/05/2025 10:47:32.045 AM,Tamper,141: FDB 4 - IPD 353,Sensor W  Tamper  Sector 41,13,1,Secured,Operator Station 1,Nuisance,Maintenance  //Jeffrey Prince//,12/05/2025 10:47:38.691 AM
12/05/2025 10:47:40.739 AM,Tamper,142: FDB 4 - IPD 212,Sensor Y  Tamper  Sector 41,6,1,Armed,Operator Station 1,Nuisance,Work order  //Jeffrey Prince//,12/05/2025 10:47:48.328 AM
12/05/2025 10:49:18.224 AM,Intrusion,143: FDB 4 - IPD 330,Sensor X  Alarm  Sector 49,9,1,Armed,Operator Station 4,Nuisance,Wildlife  //Amanda Brooks//,12/05/2025 10:49:21.141 AM
12/05/2025 10:49:24.756 AM,Intrusion,144: FDB 5 - IPD 348,Sensor I  Alarm  Sector 50,8,1,Armed,Operator Station 4,Nuisance,Wildlife  //Amanda Brooks//,12/05/2025 10:49:29.245 AM
12/05/2025 10:49:29.746 AM,Intrusion,145: FDB 3 - IPD 220,Sensor W  Alarm  Sector 49,9,1,Armed,Operator Station 4,Nuisance,Wildlife  //Amanda Brooks//,12/05/2025 10:49:34.541 AM
12/05/2025 10:49:51.435 AM,Sensor_Fault,146: FDB 1 - IPD 280,Sensor P  Fault  Sector 4,10,1,Armed,Operator Station 4,Valid,Work order  //Amanda Brooks//,12/05/2025 10:50:00.781 AM
12/05/2025 10:53:53.563 AM,Sensor_Fault,147: FDB 4 - IPD 114,Sensor N  Fault  Sector 31,13,3,Secured,Operator Station 4,Valid,Hardware issue  //Mark Clay//,12/05/2025 10:53:58.837 AM
12/05/2025 10:54:46.172 AM,Sensor_Fault,148: FDB 4 - IPD 114,Sensor N  Fault  Sector 31,13,1,Secured,Operator Station 4,Valid,Device trouble  //Mark Clay//,12/05/2025 10:54:51.547 AM
12/05/2025 10:55:42.794 AM,Sensor_Fault,149: FDB 4 - IPD 114,Sensor N  Fault  Sector 31,13,1,Secured,Operator Station 4,Valid,Sensor fault  //Mark Clay//,12/05/2025 10:55:47.576 AM
12/05/2025 10:58:41.177 AM,Intrusion,150: FDB 2 - IPD 135,Sensor L  Alarm  Sector 48,2,1,Armed,Operator Station 7,Nuisance,Dispatch  //Christopher Henderson//,12/05/2025 10:58:47.526 AM
